"list_hover href","list_hover src","d-flex href","product-list__price","card__text"
"https://jewelbox.co.in/dinky-sparkle-diamond-ear-studs/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1762932444.jpg","https://jewelbox.co.in/dinky-sparkle-diamond-ear-studs/","₹20,247","Dinky Sparkle Diamond Ear Studs"
"https://jewelbox.co.in/dot-in-drop-diamond-ear-studs/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1761285308.jpg","https://jewelbox.co.in/dot-in-drop-diamond-ear-studs/","₹45,827","Dot In Drop Diamond Ear Studs"
"https://jewelbox.co.in/fair-square-men-diamond-studs/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1762344003.jpg","https://jewelbox.co.in/fair-square-men-diamond-studs/","₹14,914","Fair Square Men Diamond Studs"
"https://jewelbox.co.in/ferns-of-glam-diamond-stud-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1761825313.jpg","https://jewelbox.co.in/ferns-of-glam-diamond-stud-earrings/","₹21,995","Ferns of Glam Diamond Stud Earrings"
"https://jewelbox.co.in/fortis-emerald-diamond-stud-for-men/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1762938917.jpg","https://jewelbox.co.in/fortis-emerald-diamond-stud-for-men/","₹48,693","Fortis Emerald Diamond Stud For Men"
"https://jewelbox.co.in/glamour-from-the-sky-diamond-earstuds/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1761819822.jpg","https://jewelbox.co.in/glamour-from-the-sky-diamond-earstuds/","₹15,864","Glamour from the Sky Diamond Earstuds"
"https://jewelbox.co.in/glow-hexa-diamond-pave-earstuds/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1761739628.jpg","https://jewelbox.co.in/glow-hexa-diamond-pave-earstuds/","₹19,862","Glow Hexa Diamond Pave Earstuds"
"https://jewelbox.co.in/atomic-glow-diamond-stud-for-men/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1762255404.jpg","https://jewelbox.co.in/atomic-glow-diamond-stud-for-men/","₹9,879","Atomic Glow Diamond Stud For Men"
"https://jewelbox.co.in/glowing-steering-men-diamond-ear-stud/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1762496436.jpg","https://jewelbox.co.in/glowing-steering-men-diamond-ear-stud/","₹14,060","Glowing Steering Men Diamond Ear Stud"
"https://jewelbox.co.in/elegant-halo-round-diamond-earstuds/","https://d3v1ent03vl2sc.cloudfront.net/wp-content/uploads/2023/12/WER0248-2.jpg","https://jewelbox.co.in/elegant-halo-round-diamond-earstuds/","₹91,518","Elegant Halo Round Diamond Earstuds"
"https://jewelbox.co.in/gracious-bloom-diamond-earstuds/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1761804852.jpg","https://jewelbox.co.in/gracious-bloom-diamond-earstuds/","₹20,576","Gracious Bloom Diamond Earstuds"
